date,dp_lag1,ep_lag1,bm_lag1,ntis_lag1,tbl_lag1,tms_lag1,dfy_lag1,infl_lag1,corpr_lag1,ltr_lag1,svar_lag1,excess_return_1m_lag1,excess_return_1m,realized_vol_1m
1927-05-01,0.716700,1.197000,0.456754,0.050514,0.033900,-0.034400,0.009000,0.000000,0.005500,-0.000500,0.000603,0.010521,-0.022970,0.030891
1927-06-01,0.723300,1.186000,0.434783,0.055275,0.033300,-0.022400,0.009300,0.005780,-0.001100,0.010900,0.000392,0.059353,0.081450,0.037891
1927-07-01,0.730000,1.175000,0.452385,0.058823,0.030700,-0.037600,0.009700,0.011494,0.004300,-0.006900,0.000825,-0.022970,0.030521,0.035150
1927-08-01,0.736700,1.164000,0.414553,0.059753,0.029600,-0.024600,0.009500,-0.017045,0.000300,0.005000,0.000426,0.081450,0.050916,0.033934
1927-09-01,0.743300,1.153000,0.396227,0.054525,0.027000,-0.019400,0.009200,-0.005780,0.008300,0.007600,0.001276,0.030521,-0.049304,0.040290
1927-10-01,0.750000,1.143000,0.380586,0.094616,0.026800,-0.025000,0.008800,0.005814,0.014900,0.001800,0.001123,0.050916,0.068446,0.040834
1927-11-01,0.756700,1.132000,0.413801,0.094370,0.030800,-0.020900,0.008700,0.005780,0.005500,0.009900,0.001559,-0.049304,0.017095,0.039001
1927-12-01,0.763300,1.121000,0.379396,0.082270,0.030400,-0.020700,0.008600,-0.005747,0.006800,0.009700,0.000930,0.068446,-0.009682,0.039312
1928-01-01,0.770000,1.110000,0.374689,0.076471,0.031700,-0.024500,0.008600,0.000000,0.006800,0.007200,0.000604,0.017095,-0.015849,0.040281
1928-02-01,0.776700,1.133000,0.378670,0.062601,0.033100,-0.036700,0.008900,0.000000,0.002700,-0.003600,0.000861,-0.009682,0.102852,0.046675
1928-03-01,0.783300,1.155000,0.386077,0.055172,0.033300,-0.027200,0.008700,-0.011561,0.006800,0.006100,0.000691,-0.015849,0.032525,0.046395
1928-04-01,0.790000,1.177000,0.363255,0.054364,0.032700,-0.028200,0.008600,0.000000,0.004100,0.004500,0.001381,0.102852,0.009125,0.045600
1928-05-01,0.796700,1.200000,0.368095,0.049372,0.036200,-0.036600,0.008700,0.000000,0.001400,-0.000400,0.001488,0.032525,-0.037430,0.047078
